gov_level,fiscal_year,amount_crore
corporation,2020-21,397822829205.49
corporation,2021-22,5317714655609286.0
corporation,2022-23,794263276071087.5
corporation,2023-24,1331476141806672.0
corporation,2024-25,361461599.03
corporation,2025-26,45095599.0
corporation,2026-27,60909296.0
state,2020-21,454058768408.9373
state,2021-22,517817449336.81726
state,2022-23,768385359791.1937
state,2023-24,908503969462.088
state,2024-25,610376130.57
union,2016-17,37119037.31
union,2017-18,83933058.35
union,2018-19,47705648.87
